,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
28,25,25,25,7.7,7.7,7.7,522.0,522.0,522.0,,,,0,0,0,,,,,,
29,24,24,24,7.5,7.5,7.5,486.0,486.0,486.0,,,,0,0,0,4.0,4.0,4.0,7.0,7.0,7.0
30,26,26,26,7.8,7.8,7.8,585.0,585.0,585.0,,,,0,0,0,,,,,,
31,25,25,25,7.3,7.3,7.3,630.0,630.0,630.0,,,,0,0,0,2.0,2.0,2.0,4.0,4.0,4.0
32,27,27,27,7.8,7.8,7.8,496.0,496.0,496.0,,,,0,0,0,,,,,,
33,24,24,24,7.4,7.4,7.4,,,,,,,0,0,0,7.0,7.0,7.0,16.0,16.0,16.0
34,24,24,24,7.8,7.8,7.8,432.0,432.0,432.0,,,,0,0,0,9.0,9.0,9.0,14.0,14.0,14.0
35,24,24,24,7.5,7.5,7.5,392.0,392.0,392.0,,,,0,0,0,8.0,8.0,8.0,23.0,23.0,23.0
36,23,23,23,7.2,7.2,7.2,1810.0,1810.0,1810.0,,,,0,0,0,2.0,2.0,2.0,6.0,6.0,6.0
37,26,26,26,7.6,7.6,7.6,576.0,576.0,576.0,,,,0,0,0,7.0,7.0,7.0,14.0,14.0,14.0
38,27,27,27,7.2,7.2,7.2,806.0,806.0,806.0,,,,0,0,0,18.0,18.0,18.0,17.0,17.0,17.0
39,26,26,26,7.3,7.3,7.3,,,,,,,0,0,0,9.0,9.0,9.0,27.0,27.0,27.0
40,26,26,26,7.5,7.5,7.5,516.0,516.0,516.0,,,,0,0,0,4.0,4.0,4.0,9.0,9.0,9.0
