,SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
115,ANDAMAN & NICOBAR ISLANDS,1939,Percentage departure,9.9,-94.6,-46.3,7.1,35.1,14.8,-15.6,-49.4,18.8,-8.8,-28.8,-14.4
118,ANDAMAN & NICOBAR ISLANDS,1940,Percentage departure,-99.0,-89.8,98.2,-100.0,-9.8,-28.8,-32.6,122.0,10.7,-60.6,-5.2,107.9
121,ANDAMAN & NICOBAR ISLANDS,1941,Percentage departure,-100.0,-53.6,-100.0,7.7,-29.2,5.4,-23.9,-22.1,19.6,32.2,14.2,82.3
124,ANDAMAN & NICOBAR ISLANDS,1942,Percentage departure,-20.4,-73.2,-64.8,47.45,-21.15,9.55,-38.2,-15.200000000000001,15.25,13.950000000000003,-11.400000000000002,70.65
127,ANDAMAN & NICOBAR ISLANDS,1946,Percentage departure,71.5,-86.9,-29.6,87.2,-13.1,13.7,-52.5,-8.3,10.9,-4.3,-37.0,59.0
130,ANDAMAN & NICOBAR ISLANDS,1947,Percentage departure,-49.0,302.9,110.9,76.9,-42.0,104.9,23.3,-26.7,28.200000000000003,29.9,-71.0,10.0
133,ANDAMAN & NICOBAR ISLANDS,1949,Percentage departure,-100.0,104.6,-100.0,130.6,14.1,39.7,87.0,0.9,45.5,17.3,-65.2,-95.4
136,ANDAMAN & NICOBAR ISLANDS,1950,Percentage departure,-98.4,-100.0,-100.0,32.3,-25.7,-21.5,-7.7,-13.3,14.7,-22.4,-61.7,10.5
139,ANDAMAN & NICOBAR ISLANDS,1951,Percentage departure,68.0,-73.9,-100.0,-37.1,-27.2,31.5,67.4,-74.7,-16.3,68.9,-10.1,183.6
142,ANDAMAN & NICOBAR ISLANDS,1952,Percentage departure,-100.0,-97.1,132.6,-45.4,27.4,39.5,-3.0,35.1,-44.3,9.0,23.4,-41.8
145,ANDAMAN & NICOBAR ISLANDS,1953,Percentage departure,13.8,136.8,-33.0,120.7,-32.2,16.7,11.8,-34.4,-14.2,-15.8,5.6,-58.7
148,ANDAMAN & NICOBAR ISLANDS,1954,Percentage departure,70.3,-92.5,14.3,-19.6,11.0,14.4,28.5,51.1,77.1,-14.6,-63.6,-18.7
151,ANDAMAN & NICOBAR ISLANDS,1955,Percentage departure,16.4,2.1,-67.0,-4.8,86.6,38.1,-24.9,-10.9,-20.7,61.2,55.7,-71.2
154,ANDAMAN & NICOBAR ISLANDS,1956,Percentage departure,-0.1,180.1,12.8,80.5,38.3,-27.2,17.8,16.8,-24.6,58.4,-29.6,-54.0
157,ANDAMAN & NICOBAR ISLANDS,1957,Percentage departure,-43.0,-30.1,-84.7,-73.7,-60.0,57.4,-20.5,5.2,-17.9,3.5,-62.0,-53.1
160,ANDAMAN & NICOBAR ISLANDS,1958,Percentage departure,-53.5,-48.2,1.5,-65.9,-0.1,12.6,10.9,-3.0,-18.7,-8.4,34.7,-53.9
163,ANDAMAN & NICOBAR ISLANDS,1959,Percentage departure,-79.5,-93.3,4.4,20.1,-33.0,-3.3,105.6,2.2,36.7,14.9,4.1,-16.2
166,ANDAMAN & NICOBAR ISLANDS,1960,Percentage departure,111.6,162.6,-59.6,-25.9,50.6,14.9,-22.4,-32.4,2.6,38.2,-17.7,-39.5
169,ANDAMAN & NICOBAR ISLANDS,1961,Percentage departure,66.7,260.6,10.6,22.1,173.7,-18.7,-23.3,39.1,41.9,31.2,20.4,-5.8
172,ANDAMAN & NICOBAR ISLANDS,1962,Percentage departure,209.6,-45.9,-42.3,-35.7,-12.7,-22.0,2.9,5.0,10.0,-10.2,-56.3,151.0
175,ANDAMAN & NICOBAR ISLANDS,1963,Percentage departure,62.4,-2.9,-75.2,-3.8,-26.9,-7.8,-23.7,50.1,42.4,2.1,-53.1,17.4
178,ANDAMAN & NICOBAR ISLANDS,1964,Percentage departure,33.0,-20.6,-89.7,-74.9,49.2,-1.3,-27.7,17.9,20.9,-24.4,49.9,-33.7
181,ANDAMAN & NICOBAR ISLANDS,1965,Percentage departure,-76.1,10.3,-15.5,-29.4,-17.8,-13.3,-1.4,-1.0,33.8,0.3,-19.4,226.4
184,ANDAMAN & NICOBAR ISLANDS,1966,Percentage departure,62.1,-84.9,-60.1,-46.4,6.0,-68.4,9.1,-16.2,5.3,-40.6,43.2,103.4
187,ANDAMAN & NICOBAR ISLANDS,1967,Percentage departure,234.5,-21.8,0.0,-12.3,45.2,-27.7,35.3,53.4,-29.6,47.7,-57.2,-36.8
190,ANDAMAN & NICOBAR ISLANDS,1968,Percentage departure,-55.1,-95.4,-86.1,12.9,-16.3,15.7,30.6,-39.6,15.2,-2.7,-34.8,-22.2
193,ANDAMAN & NICOBAR ISLANDS,1969,Percentage departure,116.0,134.6,-51.2,-71.2,-10.8,-10.3,-13.2,-29.7,13.6,-49.3,47.5,-57.1
196,ANDAMAN & NICOBAR ISLANDS,1970,Percentage departure,46.7,23.3,-74.1,-19.4,18.9,-13.6,42.0,-14.4,-1.8,33.5,79.6,51.8
199,ANDAMAN & NICOBAR ISLANDS,1971,Percentage departure,-15.8,19.0,25.7,-51.1,11.9,-16.3,5.9,-18.1,9.0,74.6,-23.4,1.7
202,ANDAMAN & NICOBAR ISLANDS,1972,Percentage departure,-72.3,-93.9,-75.0,146.9,18.2,-0.3,37.0,-3.9,3.1,-8.9,77.6,17.4
205,ANDAMAN & NICOBAR ISLANDS,1973,Percentage departure,-63.1,-26.2,1.7,-59.0,17.7,3.7,-6.6,-7.5,-17.1,-14.6,50.1,88.6
208,ANDAMAN & NICOBAR ISLANDS,1974,Percentage departure,-54.9,59.1,-42.5,317.5,-0.6,-27.1,-35.3,13.9,-25.4,37.6,59.7,-51.2
211,ANDAMAN & NICOBAR ISLANDS,1975,Percentage departure,462.6,-0.3,-73.2,-66.5,2.1,49.9,-56.3,-10.8,-18.4,29.1,38.9,-35.0
214,ANDAMAN & NICOBAR ISLANDS,1976,Percentage departure,-57.5,-64.9,-98.1,123.7,55.1,-6.4,-3.9,21.8,-10.3,-42.4,31.8,134.6
217,ANDAMAN & NICOBAR ISLANDS,1977,Percentage departure,61.9,56.6,-79.7,-90.5,-22.6,-28.0,-14.2,-13.8,8.3,-8.9,-34.2,-56.2
220,ANDAMAN & NICOBAR ISLANDS,1978,Percentage departure,122.7,6.2,-36.9,-12.2,-3.4,-1.9,65.2,-13.5,-27.9,-15.8,-64.2,-70.9
223,ANDAMAN & NICOBAR ISLANDS,1979,Percentage departure,-27.8,-66.0,-87.0,-10.3,-58.9,-40.0,14.7,-56.7,-23.4,-43.5,-27.1,-91.1
226,ANDAMAN & NICOBAR ISLANDS,1980,Percentage departure,-88.9,-97.1,-69.3,-46.2,104.9,28.2,44.8,23.4,-37.0,-13.0,-38.3,226.6
229,ANDAMAN & NICOBAR ISLANDS,1981,Percentage departure,-77.5,0.8,-94.2,30.4,-23.8,27.4,-13.4,27.5,5.0,-16.4,49.5,11.4
232,ANDAMAN & NICOBAR ISLANDS,1982,Percentage departure,-82.1,-89.7,-78.1,35.1,-35.5,-4.8,3.3,-13.2,-14.4,-43.2,2.5,-60.5
235,ANDAMAN & NICOBAR ISLANDS,1983,Percentage departure,-55.1,-100.0,-89.7,-87.4,-32.3,-10.0,18.0,23.3,17.2,-4.7,12.0,-42.6
238,ANDAMAN & NICOBAR ISLANDS,1984,Percentage departure,41.0,530.3,-12.2,116.8,-54.3,-9.9,12.3,-68.6,-34.2,19.9,-31.8,190.4
241,ANDAMAN & NICOBAR ISLANDS,1985,Percentage departure,-75.7,-30.2,-19.7,-23.8,-21.8,24.8,-41.9,-6.3,-15.9,24.0,-0.4,-38.4
244,ANDAMAN & NICOBAR ISLANDS,1986,Percentage departure,-69.9,-97.9,-94.9,-88.6,-14.9,-33.8,-22.4,10.9,-5.2,-39.2,-29.8,-69.4
247,ANDAMAN & NICOBAR ISLANDS,1987,Percentage departure,47.2,27.6,-32.0,-75.6,-54.2,-27.1,-88.6,66.4,-12.1,29.0,34.5,117.9
250,ANDAMAN & NICOBAR ISLANDS,1988,Percentage departure,-79.2,44.6,-6.6,14.5,20.2,-24.2,24.7,-11.6,39.9,-6.3,150.2,-54.4
253,ANDAMAN & NICOBAR ISLANDS,1989,Percentage departure,13.8,-53.7,127.2,-41.0,6.7,-12.0,-4.4,3.2,-49.9,0.8,9.4,-97.4
256,ANDAMAN & NICOBAR ISLANDS,1990,Percentage departure,-72.7,-99.4,-17.8,21.2,19.4,-38.3,-46.4,-26.8,-28.0,-53.8,24.9,-34.5
259,ANDAMAN & NICOBAR ISLANDS,1991,Percentage departure,-71.3,-86.1,-6.7,84.1,-46.2,-64.8,37.7,21.5,13.6,-0.6,-44.2,-61.8
262,ANDAMAN & NICOBAR ISLANDS,1992,Percentage departure,54.2,-60.3,-100.0,-93.0,-32.0,-16.8,-12.4,-7.1,-24.9,-11.1,-72.4,-95.3
265,ANDAMAN & NICOBAR ISLANDS,1993,Percentage departure,-69.8,-100.0,333.3,-39.5,-49.0,-45.5,-1.5,-43.4,1.3,3.4,-18.9,-56.5
268,ANDAMAN & NICOBAR ISLANDS,1994,Percentage departure,-85.4,28.6,331.8,114.1,13.4,-18.1,43.3,15.0,79.7,-52.5,-22.6,-84.5
271,ANDAMAN & NICOBAR ISLANDS,1995,Percentage departure,5.2,-54.7,-59.5,-70.8,-11.5,-4.5,26.1,38.8,-1.1,1.8,94.3,-85.9
274,ANDAMAN & NICOBAR ISLANDS,1996,Percentage departure,6.1,-82.6,-88.8,70.0,-16.2,18.6,-15.6,-18.1,25.6,10.0,9.1,16.6
277,ANDAMAN & NICOBAR ISLANDS,1997,Percentage departure,-80.8,-100.0,-99.3,-78.4,-21.0,-57.7,131.1,7.5,2.1,-55.5,25.7,-75.0
280,ANDAMAN & NICOBAR ISLANDS,1998,Percentage departure,-98.2,-100.0,-100.0,-100.0,-1.9,27.3,-8.3,-35.4,-21.7,113.7,-2.2,-42.0
283,ANDAMAN & NICOBAR ISLANDS,1999,Percentage departure,-4.9,61.9,-52.7,274.8,-27.6,-37.4,2.8,-17.8,-24.6,51.1,-46.4,-5.0
286,ANDAMAN & NICOBAR ISLANDS,2000,Percentage departure,7.8,114.0,471.5,202.1,18.9,-24.3,-55.6,15.0,-42.0,11.0,-32.1,-24.9
289,ANDAMAN & NICOBAR ISLANDS,2001,Percentage departure,80.8,-42.9,378.2,-58.3,98.4,-21.4,-14.1,17.1,-22.5,-7.6,-4.5,-40.1
292,ANDAMAN & NICOBAR ISLANDS,2002,Percentage departure,-78.4,-57.05,-61.6,38.7,3.1,-24.0,-20.1,7.3,-2.6,-41.6,31.6,-15.3
295,ANDAMAN & NICOBAR ISLANDS,2003,Percentage departure,-10.0,-71.2,398.0,-73.1,-16.7,-66.1,24.5,-5.3,-13.8,7.2,-68.2,-68.7
298,ANDAMAN & NICOBAR ISLANDS,2004,Percentage departure,10.6,30.3,21.8,-42.4,42.1,-10.1,-4.7,-22.9,-34.9,-22.7,-27.1,-99.7
301,ANDAMAN & NICOBAR ISLANDS,2005,Percentage departure,-100.0,-100.0,-32.2,-29.2,-14.1,-4.0,8.0,-22.3,17.7,1.4,28.8,85.2
304,ANDAMAN & NICOBAR ISLANDS,2006,Percentage departure,-66.9,-47.8,63.2,126.7,-9.6,-22.3,-54.0,-45.2,26.7,29.4,-67.3,-51.5
307,ANDAMAN & NICOBAR ISLANDS,2007,Percentage departure,-90.0,-94.3,-83.4,-24.4,4.1,-19.7,16.5,16.2,12.8,-27.7,-3.9,-44.2
310,ANDAMAN & NICOBAR ISLANDS,2008,Percentage departure,-80.0,145.7,286.3,199.2,53.4,-2.9,28.6,20.4,-23.0,-15.8,37.8,-53.0
313,ANDAMAN & NICOBAR ISLANDS,2009,Percentage departure,-50.2,-77.0,47.4,89.0,-11.9,34.4,-25.2,-12.2,-20.1,-5.8,-71.6,-68.7
316,ANDAMAN & NICOBAR ISLANDS,2010,Percentage departure,106.7,-70.8,-97.6,-82.7,-10.3,-4.8,31.3,40.8,-39.0,39.0,15.2,60.7
319,ANDAMAN & NICOBAR ISLANDS,2011,Percentage departure,440.3,207.4,810.1,54.3,-8.2,-18.7,46.7,10.2,75.5,-26.7,-35.3,55.6
322,ANDAMAN & NICOBAR ISLANDS,2012,Percentage departure,143.7,65.4,3.0,-22.7,50.1,-2.8,-20.2,-7.7,101.5,-27.6,28.9,22.2
325,ANDAMAN & NICOBAR ISLANDS,2013,Percentage departure,36.3,36.5,43.4,-35.9,43.2,64.8,42.1,-15.9,9.8,57.5,52.0,-39.8
328,ANDAMAN & NICOBAR ISLANDS,2014,Percentage departure,-14.9,-68.9,-100.0,-84.6,-33.1,-11.6,17.6,-19.7,-4.3,39.1,-13.6,-34.5
331,ANDAMAN & NICOBAR ISLANDS,2015,Percentage departure,157.6,-72.4,-89.6,91.4,-6.7,-26.5,-17.3,19.8,21.3,-12.9,1.4,-15.2
337,ARUNACHAL PRADESH,1916,Percentage departure,0.1,-25.0,-54.2,19.2,16.6,71.0,5.550000000000001,25.9,-23.0,-6.45,37.65,-57.599999999999994
340,ARUNACHAL PRADESH,1917,Percentage departure,-55.5,76.7,-15.549999999999997,1.7,-70.4,25.2,28.4,25.6,-5.1,0.0,73.9,-100.0
343,ARUNACHAL PRADESH,1918,Percentage departure,-78.4,-88.2,23.1,-45.5,136.5,144.7,84.0,38.5,19.0,-37.2,-78.6,-44.7
346,ARUNACHAL PRADESH,1919,Percentage departure,-28.2,-27.2,-81.7,-3.1,15.5,48.0,41.0,-42.7,45.1,376.0,11.5,-65.3
349,ARUNACHAL PRADESH,1920,Percentage departure,-70.9,110.9,289.8,37.5,-52.3,27.8,-24.4,79.2,-13.1,-48.1,-100.0,-100.0
352,ARUNACHAL PRADESH,1921,Percentage departure,64.1,-41.7,16.0,35.0,64.2,87.4,102.3,77.1,39.2,23.6,-87.4,-37.5
355,ARUNACHAL PRADESH,1922,Percentage departure,5.5,-36.2,9.7,12.9,-3.7,68.6,29.7,-2.4,-52.1,142.7,-17.0,-23.4
358,ARUNACHAL PRADESH,1923,Percentage departure,-80.4,72.8,-78.1,-9.2,22.3,-37.9,80.5,-49.8,42.4,-74.9,-77.0,-88.7
361,ARUNACHAL PRADESH,1924,Percentage departure,78.3,-51.5,-52.3,-38.8,41.6,77.1,33.1,42.7,-5.2,52.2,-12.6,-100.0
364,ARUNACHAL PRADESH,1925,Percentage departure,67.7,22.5,-7.8,-15.9,61.3,-7.0,-13.7,36.9,182.0,-23.1,-86.0,-83.5
367,ARUNACHAL PRADESH,1926,Percentage departure,-20.7,-56.2,15.3,-5.8,-31.9,2.6,38.2,-10.9,-33.8,56.4,-49.1,98.8
370,ARUNACHAL PRADESH,1927,Percentage departure,0.5,124.0,-43.3,44.8,-55.0,58.9,30.3,45.5,155.9,169.6,-51.2,-100.0
373,ARUNACHAL PRADESH,1928,Percentage departure,1.7,-57.3,-23.9,-53.5,18.6,77.6,40.3,96.2,62.9,218.0,-29.9,-90.7
376,ARUNACHAL PRADESH,1929,Percentage departure,201.3,-36.4,-20.0,85.6,69.1,29.7,-13.2,33.9,-11.3,-5.6,76.6,341.6
379,ARUNACHAL PRADESH,1930,Percentage departure,34.0,-9.5,30.3,113.2,-59.1,9.6,-46.9,111.0,47.0,81.2,155.2,0.4
382,ARUNACHAL PRADESH,1931,Percentage departure,27.6,103.8,49.0,89.6,-23.7,74.7,97.6,-32.5,10.9,-21.0,3.5,86.2
385,ARUNACHAL PRADESH,1932,Percentage departure,46.0,18.5,-32.1,6.6,81.7,61.9,-26.4,81.5,57.6,-23.6,533.8,141.7
388,ARUNACHAL PRADESH,1933,Percentage departure,16.5,-36.2,-34.6,1.0,19.6,18.9,4.9,37.0,-13.2,9.4,11.2,-67.3
391,ARUNACHAL PRADESH,1934,Percentage departure,76.7,-5.2,-17.4,124.4,24.8,55.7,32.1,28.1,-11.7,-28.9,111.0,-11.6
394,ARUNACHAL PRADESH,1935,Percentage departure,-62.3,54.3,9.2,-20.4,-17.6,74.4,-30.8,93.7,45.7,-89.1,21.6,10.6
397,ARUNACHAL PRADESH,1936,Percentage departure,120.4,88.2,-2.3,41.3,-18.8,26.6,59.9,33.6,34.8,8.7,236.5,414.7
400,ARUNACHAL PRADESH,1937,Percentage departure,-58.7,13.5,-41.3,-1.6,9.6,-30.6,-13.6,63.3,-21.6,20.4,-54.3,-30.4
403,ARUNACHAL PRADESH,1938,Percentage departure,201.2,30.6,119.1,49.1,-15.8,129.7,91.3,58.1,102.4,10.7,63.5,-77.5
406,ARUNACHAL PRADESH,1939,Percentage departure,-71.6,51.0,-27.4,46.3,-13.6,72.1,18.4,-38.0,9.9,-20.9,-83.0,-69.1
409,ARUNACHAL PRADESH,1940,Percentage departure,-73.6,81.0,145.7,-49.5,32.0,-22.3,50.8,-31.9,82.6,-22.4,-66.1,78.7
412,ARUNACHAL PRADESH,1941,Percentage departure,-22.1,9.3,1.6,-7.5,79.2,-21.2,32.1,45.8,58.5,-55.0,-46.4,85.3
415,ARUNACHAL PRADESH,1942,Percentage departure,-67.1,77.1,78.8,2.7,70.0,79.7,-35.4,-12.3,-17.5,-95.6,-12.1,-95.8
418,ARUNACHAL PRADESH,1943,Percentage departure,242.2,-50.2,84.3,21.6,80.3,8.3,-2.8,0.2,67.9,-22.0,17.8,-7.9
421,ARUNACHAL PRADESH,1944,Percentage departure,52.0,-28.0,-17.4,-32.2,82.5,42.3,-31.7,-38.6,51.4,68.1,-28.7,91.6
424,ARUNACHAL PRADESH,1945,Percentage departure,-9.7,15.8,-2.6,6.7,0.5,-36.1,35.5,54.2,-24.2,-5.8,-96.4,15.8
427,ARUNACHAL PRADESH,1946,Percentage departure,-96.2,-21.3,-8.8,-10.2,73.4,-31.8,71.1,-4.3,24.7,8.4,-30.4,-84.6
430,ARUNACHAL PRADESH,1947,Percentage departure,-21.4,-26.4,2.1,73.5,35.8,-1.2,75.8,-16.4,16.2,49.2,-74.1,4.4
433,ARUNACHAL PRADESH,1948,Percentage departure,-25.9,28.4,-12.4,66.3,221.0,35.2,233.6,20.6,-19.1,-24.6,44.2,-13.7
436,ARUNACHAL PRADESH,1949,Percentage departure,66.5,-5.4,85.0,64.7,55.8,43.5,41.5,34.5,11.2,12.9,8.4,102.0
439,ARUNACHAL PRADESH,1950,Percentage departure,-19.6,-0.3,32.5,60.3,-24.7,29.35,-46.7,-51.7,-34.1,78.7,35.6,77.0
442,ARUNACHAL PRADESH,1951,Percentage departure,-33.8,-29.9,99.4,66.3,-5.4,15.2,-21.7,-44.3,-11.5,-48.9,26.6,57.7
445,ARUNACHAL PRADESH,1952,Percentage departure,-64.2,-73.7,22.0,-42.9,-35.4,-57.9,-54.7,-3.8,-15.0,29.4,20.3,19.8
448,ARUNACHAL PRADESH,1953,Percentage departure,17.3,14.8,51.9,-19.0,-13.5,-37.7,-27.6,-51.0,3.8,1.5,-71.5,-5.6
451,ARUNACHAL PRADESH,1957,Percentage departure,61.0,-6.349999999999998,-13.449999999999996,-6.9,23.3,-7.6,72.2,8.5,16.7,-26.4,-53.2,63.7
454,ARUNACHAL PRADESH,1958,Percentage departure,104.7,-27.5,-78.8,-47.8,91.9,-22.3,-35.4,232.8,62.7,236.0,-93.2,-31.4
457,ARUNACHAL PRADESH,1959,Percentage departure,73.1,48.2,-32.7,-44.8,84.5,23.6,60.6,-33.4,17.4,24.0,-66.9,-100.0
460,ARUNACHAL PRADESH,1960,Percentage departure,-83.4,-71.2,-65.8,-48.3,-42.1,-0.6,83.1,-49.8,138.8,-93.5,-63.3,-58.1
463,ARUNACHAL PRADESH,1961,Percentage departure,4.0,119.4,86.4,-31.8,35.2,-9.5,4.2,9.5,-40.9,30.8,56.4,-84.3
466,ARUNACHAL PRADESH,1962,Percentage departure,-22.6,-6.4,-71.0,-5.6,65.3,65.5,7.0,181.1,-48.7,28.3,5.600000000000001,-60.5
469,ARUNACHAL PRADESH,1963,Percentage departure,-69.6,-62.2,8.5,-1.0,-4.9,14.8,15.4,139.8,-15.5,-31.5,-45.2,-36.7
472,ARUNACHAL PRADESH,1964,Percentage departure,15.2,-3.0,-47.8,-17.2,-21.3,117.8,112.6,-1.6,7.3,23.6,-66.6,190.0
475,ARUNACHAL PRADESH,1965,Percentage departure,-22.2,29.7,-33.3,-4.1,-15.7,-38.5,-55.4,-29.8,-60.1,-74.1,98.8,-80.2
478,ARUNACHAL PRADESH,1966,Percentage departure,-53.4,-1.7,-36.6,-32.1,-51.1,-28.1,-38.9,-17.7,-54.4,-60.4,6.9,-74.7
481,ARUNACHAL PRADESH,1967,Percentage departure,-72.3,-51.1,-4.8,-63.6,-55.0,-61.5,-38.7,-55.8,-50.9,-70.6,-72.6,-53.5
484,ARUNACHAL PRADESH,1968,Percentage departure,12.8,-55.5,-12.5,-55.7,-15.6,-22.5,-42.9,-54.5,-43.8,-61.9,-65.7,-66.1
487,ARUNACHAL PRADESH,1969,Percentage departure,-60.1,-89.2,-78.3,-52.1,-44.4,-37.3,-42.8,-33.2,-44.3,-78.5,-4.6,-39.2
